paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,Stage,track,Social Good Topics at ACL 2020,UN 6 goals,country of the first author,affiliaton of the first author,if first author is supported by companies,author
Automated Evaluation of Writing – 50 Years and Counting,2,metric,,,US,Educational Testing Service,N,Beata Beigman Klebanov and Nitin Madnani
Learning to Deceive with Attention-Based Explanations,2,interpretability; model architecture,,,US,CMU,N,"Danish Pruthi, Mansi Gupta, Bhuwan Dhingra, Graham Neubig and Zachary C. Lipton"
Improving Disfluency Detection by Self-Training a Self-Attentive Model,3,speech,,,Australia,Macquarie University,N,Paria Jamshid Lou and Mark Johnson
Enhancing Cross-target Stance Detection with Transferable Semantic-Emotion Knowledge,3,stance detection,,,China,Harbin Institute of Technology,N,"Bowen Zhang, Min Yang, Xutao Li, Yunming Ye, Xiaofei Xu and Kuai Dai"
Response-Anticipated Memory for On-Demand Knowledge Integration in Response Generation,3,dialog,,,Hong Kong,HKUST,Tencent,"Zhiliang Tian, Wei Bi, Dongkyu Lee, Lanqing Xue, Yiping Song, Xiaojiang Liu and Nevin L. Zhang"
"To Test Machine Comprehension, Start by Defining Comprehension",2,question answering,,,US,Elemental Cognition,Elemental Cognition,"Jesse Dunietz, Greg Burnham, Akash Bharadwaj, Owen Rambow, Jennifer Chu-Carroll and Dave Ferrucci"
XtremeDistil: Multi-stage Distillation for Massive Multilingual Models,2,model architecture; greenNLP,,,US,Microsoft,Microsoft,Subhabrata Mukherjee and Ahmed Hassan Awadallah
iSarcasm: A Dataset of Intended Sarcasm,3,sarcasm generation,,,UK,University of Edinburgh,N,Silviu Oprea and Walid Magdy
Exclusive Hierarchical Decoding for Deep Keyphrase Generation,3,topic modeling,,,Hong Kong,The Chinese University of Hong Kong,N,"Wang Chen, Hou Pong Chan, Piji Li and Irwin King"
It’s Morphin’ Time! Combating Linguistic Discrimination with Inflectional Perturbations,2,bias; low-resource,bias,equality,Singapore,NUS,Salesforce,"Samson Tan, Shafiq Joty, Min-Yen Kan and Richard Socher"
Evaluating and Enhancing the Robustness of Neural Network-based Dependency Parsing Models with Adversarial Examples,2,syntax parsing; robustness,robustness,,China,Fudan University,N,"Xiaoqing Zheng, Jiehang Zeng, Yi Zhou, Cho-Jui Hsieh, Minhao Cheng and Xuanjing Huang"
Few-shot Slot Tagging with Collapsed Dependency Transfer and Label-enhanced Task-adaptive Projection Network,2,semantic parsing,,,China,Harbin Institute of Technology,N,"Yutai Hou, Wanxiang Che, Yongkui Lai, Zhihan Zhou, Yijia Liu, Han Liu and Ting Liu"
Bootstrapping Techniques for Polysynthetic Morphological Analysis,2,morphology,,,Australia,Charles Darwin University,N,William Lane and Steven Bird
Rationalizing Medical Relation Prediction from Corpus-level Statistics,4,healthcare,healthcare,health and wellbeing,US,The Ohio State University,N,"Zhen Wang, Jennifer Lee, Simon Lin and Huan Sun"
"Sentiment and Emotion help Sarcasm? A Multi-task Learning Framework for Multi-Modal Sarcasm, Sentiment and Emotion Analysis",4,sarcasm generation; sentiment and argument analysis; emotion detection,,,India,Indian Institute of Technology Patna,N,"Dushyant Singh Chauhan, Dhanush S R, Asif Ekbal and Pushpak Bhattacharyya"
"Amalgamation of protein sequence, structure and textual information for improving protein-protein interaction identification",4,biology,healthcare,health and wellbeing,India,Microsoft,Microsoft,Pratik Dutta and Sriparna Saha
A Call for More Rigor in Unsupervised Cross-lingual Learning,2,robustness,robustness,,Spain,University of the Basque Country,DeepMind,"Mikel Artetxe, Sebastian Ruder, Dani Yogatama, Gorka Labaka and Eneko Agirre"
Discrete Optimization for Unsupervised Sentence Summarization with Word-Level Extraction,3,summarization,,,Germany,Heidelberg University,N,"Raphael Schumann, Lili Mou, Yao Lu, Olga Vechtomova and Katja Markert"
Multi-Hypothesis Machine Translation Evaluation,2,metric,,,UK,University of Sheffield,N,"Marina Fomicheva, Lucia Specia and Francisco Guzmán"
PuzzLing Machines: A Challenge on Learning From Small Data,2,few-shot,,,Germany,Technical University of Darmstadt,N,"Gözde Gül Şahin, Yova Kementchedjhieva, Phillip Rust and Iryna Gurevych"
SCDE: Sentence Cloze Dataset with High Quality Distractors From Examinations,2,language modeling,,,US,CMU,N,"Xiang Kong, Varun Gangal and Eduard Hovy"
The Sensitivity of Language Models and Humans to Winograd Schema Perturbations,2,robustness; question answering,robustness,,Denmark,University of Copenhagen,N,"Mostafa Abdou, Vinit Ravishankar, Maria Barrett, Yonatan Belinkov, Desmond Elliott and Anders Søgaard"
