paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,Stage,track,Social Good Topics at ACL 2020,UN 6 goals,country of the first author,affiliaton of the first author,if first author is supported by companies,author
Dependency Graph Enhanced Dual-transformer Structure for Aspect-based Sentiment Classification,2;3,sentiment and argument analysis,,,China,Wuhan University,N,"Hao Tang, Donghong Ji, Chenliang Li and Qiji Zhou"
Synchronous Double-channel Recurrent Network for Aspect-Opinion Pair Extraction,2,sentiment and argument analysis,,,China,Nankai University,N,"Shaowei Chen, Jie Liu, Yu Wang, Wenzheng Zhang and Ziming Chi"
"MATINF: A Jointly Labeled Large-Scale Dataset for Classification, Question Answering and Summarization",2,dataset; sentiment and argument analysis; question answering; summarization,,,China,Wuhan University,N,"Canwen Xu, Jiaxin Pei, Hongtao Wu, Yiyu Liu and Chenliang Li"
Empower Entity Set Expansion via Language Model Probing,2,information extraction,,,US,UIUC,N,"Yunyi Zhang, Jiaming Shen, Jingbo Shang and Jiawei Han"
A Tale of Two Perplexities: Sensitivity of Neural Language Models to Lexical Retrieval Deficits in Dementia of the Alzheimer‚Äôs Type,3,language modeling,healthcare,health and wellbeing,US,UW; UMN,N,Trevor Cohen and Serguei Pakhomov
Improving Multimodal Named Entity Recognition via Entity Span Detection with Unified Multimodal Transformer,2,information extraction,,,China,Nanjing University of Science & Technology,N,"Jianfei Yu, Jing Jiang, Li Yang and Rui Xia"
Generating Diverse and Consistent QA pairs from Contexts with Information-Maximizing Hierarchical Conditional VAEs,2,question answering,,,Korea,KAIST,N,"Dong Bok Lee, Seanie Lee, Woo Tae Jeong, Donghwan Kim and Sung Ju Hwang"
"Exact yet Efficient Graph Parsing, Bi-directional Locality and the Constructivist Hypothesis",2,semantic parsing,,,China,Peking University,N,Yajie Ye and Weiwei Sun
Aligned Dual Channel Graph Convolutional Network for Visual Question Answering,2;3,question answering,,,China,South China University of Technology; Guangxi University,N,"Qingbao Huang, Jielong Wei, Yi Cai, Changmeng Zheng, Junying Chen, Ho-fung Leung and Qing Li"
Learning to execute instructions in a Minecraft dialogue,2,robotics,,,US,UIUC,N,"Prashant Jayannavar, Anjali Narayan-Chen and Julia Hockenmaier"
"In Neural Machine Translation, What Does Transfer Learning Transfer?",2,machine translation; interpretability,interpretability; low-resource,equality,UK,University of Edinburgh,N,"Alham Fikri Aji, Nikolay Bogoychev, Kenneth Heafield and Rico Sennrich"
Integrating Multimodal Information in Large Pretrained Transformers,3,sentiment and argument analysis,,,US,University of Rochester,N,"Wasifur Rahman, Md Kamrul Hasan, Sangwu Lee, AmirAli Bagher Zadeh, Chengfeng Mao, Louis-Philippe Morency and Ehsan Hoque"
Roles and Utilization of Attention Heads in Transformer-based Neural Language Models,2,language modeling; interpretability,,,Korea,KAIST,Dingbro,Jae-young Jo and Sung-Hyon Myaeng
Transition-based Semantic Dependency Parsing with Pointer Networks,2,syntax parsing,,,Spain,Universidade da Coruna,N,Daniel Fern√°ndez-Gonz√°lez and Carlos G√≥mez-Rodr√≠guez
Bridging the Structural Gap Between Encoding and Decoding for Data-To-Text Generation,2;3,data-to-text generation,,,US,UNC Chapel Hill,N,"Chao Zhao, Marilyn Walker and Snigdha Chaturvedi"
Emergence of Syntax Needs Minimal Supervision,1,syntax parsing,,,France,Universite Paris 1 Panth ´ eon-Sorbonne,N,Rapha√´l Bailly and Kata G√°bor
AMR Parsing with Latent Structural Information,2,semantic parsing,,,China,Wuhan University; Westlake University,N,"Qiji Zhou, Yue Zhang, Donghong Ji and Hao Tang"
"Extracting Headless MWEs from Dependency Parse Trees: Parsing, Tagging, and Joint Modeling Approaches",2,syntax parsing; tagging,,,US,Cornell University,N,Tianze Shi and Lillian Lee
Efficient Constituency Parsing by Pointing,2,syntax parsing,,,Singapore,NTU,N,"Thanh-Tung Nguyen, Xuan-Phi Nguyen, Shafiq Joty and Xiaoli Li"
Structured Tuning for Semantic Role Labeling,2,semantic parsing,,,US,University of Utah,N,"Tao Li, Parth Anand Jawale, Martha Palmer and Vivek Srikumar"
A Novel Cascade Binary Tagging Framework for Relational Triple Extraction,2,information extraction,,,China,Jilin University,N,"Zhepei Wei, Jianlin Su, Yue Wang, Yuan Tian and Yi Chang"
Coupling Distant Annotation and Adversarial Training for Cross-Domain Chinese Word Segmentation,2,segmentation,,,China,Tsinghua University,Alibaba,"Ning Ding, Dingkun Long, Guangwei Xu, Muhua Zhu, Pengjun Xie, Xiaobin Wang and Haitao Zheng"
Investigating the effect of auxiliary objectives for the automated grading of learner English speech transcriptions,3;4,automatic grading,,,US,University of Virginia,N,"Hannah Craighead, Andrew Caines, Paula Buttery and Helen Yannakoudakis"
Cross-modal Coherence Modeling for Caption Generation,3,caption generation,,,US,Rutgers University,N,"Malihe Alikhani, Piyush Sharma, Shengjie Li, Radu Soricut and Matthew Stone"
Orthogonal Relation Transforms with Graph Context Modeling for Knowledge Graph Embedding,2,information extraction; knowledge graph,,,China,JD AI Research,JD,"Yun Tang, Jing Huang, Guangtao Wang, Xiaodong He and Bowen Zhou"
Improving Chinese Word Segmentation with Wordhood Memory Networks,2,segmentation,,,US,UW,Sinovation Ventures,"Yuanhe Tian, Yan Song, Fei Xia, Tong Zhang and Yonggang Wang"
More Diverse Dialogue Datasets via Diversity-Informed Data Collection,2,dialog,low-resource,equality,US,UCB,N,"Katherine Stasaski, Grace Hui Yang and Marti A. Hearst"
Grounded Conversation Generation as Guided Traverses in Commonsense Knowledge Graphs,2;3,dialog,,,US; China,Brown University; Tsinghua University,N,"Houyu Zhang, Zhenghao Liu, Chenyan Xiong and Zhiyuan Liu"
DeFormer: Decomposing Pre-trained Transformers for Faster Question Answering,2;3,question answering,greenNLP,energy,US,Stony Brook University,N,"Qingqing Cao, Harsh Trivedi, Aruna Balasubramanian and Niranjan Balasubramanian"
Boosting Neural Machine Translation with Similar Translations,3,machine translation,,,France,Universite Paris-Saclay,SYSTRAN,"Jitao XU, Josep Crego and Jean Senellart"
Bipartite Flat-Graph Network for Nested Named Entity Recognition,2,information extraction,,,China,Shanghai Jiao Tong University,N,Ying Luo and Hai Zhao
Generating Informative Conversational Response using Recurrent Knowledge-Interaction and Knowledge-Copy,2;3,dialog,,,China,Ant Financial Services,Ant Financial Services,"Xiexiong Lin, Weiyu Jian, Jianshan He, Taifeng Wang and Wei Chu"
Location Attention for Extrapolation to Longer Sequences,2,model architecture; out-of-distribution,,,UK,University of Cambridge,N,"Yann Dubois, Gautier Dagan, Dieuwke Hupkes and Elia Bruni"
Unsupervised Opinion Summarization with Noising and Denoising,3,summarization,,,UK,University of Edinburgh,N,Reinald Kim Amplayo and Mirella Lapata
Adversarial and Domain-Aware BERT for Cross-Domain Sentiment Analysis,2;3,sentiment and argument analysis,,,China,Beijing University of Posts and Telecommunications,EBUPT Information Technology,"Chunning Du, Haifeng Sun, Jingyu Wang, Qi Qi and Jianxin Liao"
MixText: Linguistically-Informed Interpolation of Hidden Space for Semi-Supervised Text Classification,2,sentiment and argument analysis,,,US,Georgia Tech,N,"Jiaao Chen, Zichao Yang and Diyi Yang"
Continual Relation Learning via Episodic Memory Activation and Reconsolidation,2,information extraction,,,China,Tsinghua University,N,"Xu Han, Yi Dai, Tianyu Gao, Yankai Lin, Zhiyuan Liu, Peng Li, Maosong Sun and Jie Zhou"
Do Neural Language Models Show Preferences for Syntactic Formalisms?,2,syntax parsing; interpretability,,,Sweden,Uppsala University,N,"Artur Kulmizev, Vinit Ravishankar, Mostafa Abdou and Joakim Nivre"
What Was Written vs. Who Read It: News Media Profiling Using Text Analysis and Social Media Context,3,media profiling,misinformation,,US,MIT,N,"Ramy Baly, Georgi Karadzhov, Jisun An, Haewoon Kwak, Yoan Dinkov, Ahmed Ali, James Glass and Preslav Nakov"
Parsing into Variable-in-situ Logico-Semantic Graphs,2,semantic parsing,,,China,Peking University,N,Yufei Chen and Weiwei Sun
"Joint Diacritization, Lemmatization, Normalization, and Fine-Grained Morphological Tagging",2,tagging,,,United Arab Emirates,NYU Abu Dhabi,N,Nasser Zalmout and Nizar Habash
Fine-grained Fact Verification with Kernel Graph Attention Network,3,misinformation,misinformation,,China,Tsinghua University,N,"Zhenghao Liu, Chenyan Xiong, Maosong Sun and Zhiyuan Liu"
Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,2,interpretability,,,Peru,Pontificia Universidad Catolica del Per ´ u,N,"Marco Tulio Ribeiro, Tongshuang Wu, Carlos Guestrin and Sameer Singh"
Heterogeneous Graph Neural Networks for Extractive Document Summarization,2;3,summarization,,,China,Fudan University,N,"Danqing Wang, Pengfei Liu, Yining Zheng, Xipeng Qiu and Xuanjing Huang"
"Stock Embeddings Acquired from News Articles and Price History, and an Application to Portfolio Optimization",3;4,stock market,,,Japan,The University fo Tokyo,N,Xin Du and Kumiko Tanaka-Ishii
Refer360¬∞ : A Referring Expression Recognition Dataset in 360¬∞ Images,2,robotics,,,US,CMU,N,"Volkan Cirik, Taylor Berg-Kirkpatrick and Louis-Philippe Morency"
Estimating predictive uncertainty for rumour verification models,3;4,misinformation,misinformation,,UK,University of Warwick,N,Elena Kochkina and Maria Liakata
schuBERT: Optimizing Elements of BERT,2,model architecture,,,US,Amazon AWS,Amazon,Ashish Khetan and Zohar Karnin
SEEK: Segmented Embedding of Knowledge Graphs,2,knowledge graph,,,China,Sun Yat-sen University,N,"Wentao Xu, Shun Zheng, Liang He, Bin Shao, Jian Yin and Tie-Yan Liu"
Target Inference in Argument Conclusion Generation,3,language modeling,,,Germany,Paderborn University,N,"Milad Alshomary, Shahbaz Syed, Martin Potthast and Henning Wachsmuth"
Benchmarking Multimodal Regex Synthesis with Complex Structures,3,semantic parsing,,,US,The University of Texas at Austin,N,"Xi Ye, Qiaochu Chen, Isil Dillig and Greg Durrett"
Tangled up in BLEU: Reevaluating the Evaluation of Automatic Machine Translation Evaluation Metrics,2,machine translation,,,Australia,The University of Melbourne,N,"Nitika Mathur, Timothy Baldwin and Trevor Cohn"
Integrating Semantic and Structural Information with Graph Convolutional Network for Controversy Detection,3;4,misinformation,misinformation,,China,University of Chinese Academy of Sciences,N,"Lei Zhong, Juan Cao, Qiang Sheng, Junbo Guo and Ziang Wang"
Distinguish Confusing Law Articles for Legal Judgment Prediction,3;4,legal judgement prediction,legal,,China,Xi’an Jiaotong University,N,"Nuo Xu, Pinghui Wang, Long Chen, Li Pan, Xiaoyan Wang and Junzhou Zhao"
On the Robustness of Language Encoders against Grammatical Errors,2,language modeling,,,China,Peking University,N,"Fan Yin, Quanyu Long, Tao Meng and Kai-Wei Chang"
From Zero to Hero: Human-In-The-Loop Entity Linking in Low Resource Domains,2,information extraction; low-resource,low-resource,,Germany,Technical University of Darmstadt,N,"Jan-Christoph Klie, Richard Eckart de Castilho and Iryna Gurevych"
CluHTM - Semantic Hierarchical Topic Modeling based on CluWords,2;3,topic modeling,,,Brazil,Universidade Federal de Minas Gerais,N,"Felipe Viegas, Washington Cunha, Christian Gomes, Ant√¥nio Pereira, Leonardo Rocha and Marcos Goncalves"
Cross-modal Language Generation using Pivot Stabilization for Web-scale Language Coverage,3;4,caption generation; low-resource,equality,equality,US,Google Research,Google,Ashish V. Thapliyal and Radu Soricut
Harnessing the linguistic signal to predict scalar inferences,2,psycholinguistics,,,US,Stanford University,N,"Sebastian Schuster, Yuxing Chen and Judith Degen"
Masked Language Model Scoring,2,model architecture,,,US,Amazon AWS,Amazon,"Julian Salazar, Davis Liang, Toan Q. Nguyen and Katrin Kirchhoff"
Emerging Cross-lingual Structure in Pretrained Language Models,2,language modeling; interpretability,,,US&US,Facebook&Johns Hopkins University,Facebook,"Alexis Conneau, Shijie Wu, Haoran Li, Luke Zettlemoyer and Veselin Stoyanov"
Tchebycheff Procedure for Multi-task Text Classification,3,sentiment and argument analysis,,,Australia,University of New South Wales,N,"Yuren Mao, Shuang Yun, Weiwei Liu and Bo Du"
Fluent Response Generation for Conversational Question Answering,3,dialog,,,Canada,University of Waterloo,N,"Ashutosh Baheti, Alan Ritter and Kevin Small"
A Joint Model for Document Segmentation and Segment Labeling,2,segmentation,,,US,University of Maryland,Adobe,"Joe Barrow, Rajiv Jain, Vlad Morariu, Varun Manjunatha, Douglas Oard and Philip Resnik"
Hyperbolic Capsule Networks for Multi-Label Classification,3,sentiment and argument analysis,,,China,Beijing Jiaotong University,N,"Boli Chen, Xin Huang, Lin Xiao and Liping Jing"
Predicting Declension Class from Form and Meaning,2,noun classification (ontology),,,US,Facebook,Facebook,"Adina Williams, Tiago Pimentel, Arya D. McCarthy, Hagen Blix, Eleanor Chodroff and Ryan Cotterell"
Analysing Lexical Semantic Change with Contextualised Word Representations,2,word meaning,,,Netherlands,University of Amsterdam,N,"Mario Giulianelli, Marco Del Tredici and Raquel Fern√°ndez"
Discourse-Aware Neural Extractive Text Summarization,3,summarization,,,US,The University of Texas at Austin,Microsoft,"Jiacheng Xu, Zhe Gan, Yu Cheng and Jingjing Liu"
MultiQT: Multimodal learning for real-time question tracking in speech,2;3,question answering,,,Denmark,Corti,Corti,"Jakob D. Havtorn, Jan Latko, Joakim Edin, Lars Maal√∏e, Lasse Borgholt, Lorenzo Belgrano, Nicolai Jacobsen, Regitze Sdun and ≈Ωeljko Agiƒá"
Language Models as an Alternative Evaluator of Word Order Hypotheses: A Case Study in Japanese,2,word order,,,Japan,Tohoku University,Langsmith,"Tatsuki Kuribayashi, Takumi Ito, Jun Suzuki and Kentaro Inui"
Negative Training for Neural Dialogue Response Generation,3,dialog,,,US,MIT,N,Tianxing He and James Glass
A Batch Normalized Inference Network Keeps the KL Vanishing Away,2,model architecture,,,US,University of Florida,Tencent,"Qile Zhu, Wei Bi, Xiaojiang Liu, Xiyao Ma, Xiaolin Li and Dapeng Wu"
Towards Transparent and Explainable Attention Models,2,model architecture; interpretability,interpretability,,India,Indian Institute of Technology Madras,N,"Akash Kumar Mohankumar, Preksha Nema, Sharan Narasimhan, Mitesh M. Khapra, Balaji Vasan Srinivasan and Balaraman Ravindran"
Learning Source Phrase Representations for Neural Machine Translation,2,machine translation,,,Germany,Saarland University,N,"Hongfei Xu, Josef van Genabith, Deyi Xiong, Qiuhui Liu and Jingyi Zhang"
Neural Generation of Dialogue Response Timings,3;4,dialog,,,Ireland,Trinity College Dublin,N,Matthew Roddy and Naomi Harte
Learning to Update Natural Language Comments Based on Code Changes,3;4,code,,,US,The University of Texas at Austin,N,"Sheena Panthaplackel, Pengyu Nie, Milos Gligoric, Junyi Jessy Li and Raymond Mooney"
Word-level Textual Adversarial Attacking as Combinatorial Optimization,2,robustness,robustness,,China; US,Tsinghua University&Tsinghua University&Columbia University,N,"Yuan Zang, Fanchao Qi, Chenghao Yang, Zhiyuan Liu, Meng Zhang, Qun Liu and Maosong Sun"
From English to Code-Switching: Transfer Learning with Strong Morphological Clues,2;3,language modeling,low-resource,equality,US,University of Houston,N,Gustavo Aguilar and Thamar Solorio
Representation Learning for Information Extraction from Form-like Documents,2;3,information extraction,,,US,UC San Diego,Google,"Bodhisattwa Prasad Majumder, Navneet Potti, Sandeep Tata, James Bradley Wendt, Qi Zhao and Marc Najork"
A Novel Graph-based Multi-modal Fusion Encoder for Neural Machine Translation,3,machine translation,,,China,Xiamen University,Tencent,"Yongjing Yin, Fandong Meng, Jinsong Su, Chulun Zhou, Zhengyuan Yang, Jie Zhou and Jiebo Luo"
Differentiable Window for Dynamic Local Attention,2,model architecture,,,Singapore,NTU,N,"Thanh-Tung Nguyen, Xuan-Phi Nguyen, Shafiq Joty and Xiaoli Li"
TXtract: Taxonomy-Aware Knowledge Extraction for Thousands of Product Categories,4,information extraction,,,US,Columbia University,Amazon,"Giannis Karamanolakis, Jun Ma and Xin Luna Dong"
Effective Estimation of Deep Generative Language Models,2,model architecture,,,UK,University of Edinburgh,N,Tom Pelsmaeker and Wilker Aziz
"Generate, Delete and Rewrite: A Three-Stage Framework for Improving Persona Consistency of Dialogue Generation",3;4,dialog,,,China,Harbin Institute of Technology,Tencent,"Haoyu Song, Yan Wang, Wei-Nan Zhang, Xiaojiang Liu and Ting Liu"
End-to-End Bias Mitigation by Modelling Biases in Corpora,2,bias,equality,equality,Switzerland,EPFL,Idiap Research Institute,"Rabeeh Karimi Mahabadi, Yonatan Belinkov and James Henderson"
Dialogue Coherence Assessment Without Explicit Dialogue Act Labels,2,dialog,,,Germany,Technische Universitat Darmstadt,N,"Mohsen Mesgar, Sebastian B√ºcker and Iryna Gurevych"
Reducing Gender Bias in Neural Machine Translation as a Domain Adaptation Problem,3,machine translation; bias,equality; low-resource,equality,UK,University of Cambridge,N,Danielle Saunders and Bill Byrne
Predicting Depression in Screening Interviews from Latent Categorization of Interview Prompts,4,mental healthcare,mental healthcare,health and wellbeing,US,UC Santa Cruz,N,"Alex Rinaldi, Jean Fox Tree and Snigdha Chaturvedi"
Towards Conversational Recommendation over Multi-Type Dialogs,3;4,dialog,,,China,Harbin Institute of Technology,Baidu,"Zeming Liu, Haifeng Wang, Zheng-Yu Niu, Hua Wu, Wanxiang Che and Ting Liu"
"ECPE-2D: Emotion-Cause Pair Extraction based on Joint Two-Dimensional Representation, Interaction and Prediction",3,dialog,,,China,Nanjing University of Science & Technology,N,"Zixiang Ding, Rui Xia and Jianfei Yu"
"R^3: Reverse, Retrieve, and Rank for Sarcasm Generation with Commonsense Knowledge",3,sarcasm generation,,,US,University of Southern California,N,"Tuhin Chakrabarty, Debanjan Ghosh, Smaranda Muresan and Nanyun Peng"
Syntax-Aware Opinion Role Labeling with Dependency Graph Convolutional Networks,2;3,semantic parsing,,,China,Soochow University,N,"Bo Zhang, Yue Zhang, Rui Wang, Zhenghua Li and Min Zhang"
Contextualized Weak Supervision for Text Classification,2,sentiment and argument analysis,,,US,UC San Diego,N,Dheeraj Mekala and Jingbo Shang
SentiBERT: A Transferable Transformer-Based Architecture for Compositional Sentiment Semantics,2,sentiment and argument analysis,,,China,Peking University,N,"Da Yin, Tao Meng and Kai-Wei Chang"
‚ÄúThe Boating Store Had Its Best Sail Ever‚Äù: Pronunciation-attentive Contextualized Pun Recognition,2,pun classification,,,US,UCLA,N,"Yichao Zhou, Jyun-Yu Jiang, Jieyu Zhao, Kai-Wei Chang and Wei Wang"
The SOFC-Exp Corpus and Neural Approaches to Information Extraction in the Materials Science Domain,2;4,information extraction,science literature,,Germany,Bosch Center for Artificial Intelligence,BOSCH,"Annemarie Friedrich, Heike Adel, Federico Tomazic, Johannes Hingerl, Renou Benteau, Anika Marusczyk and Lukas Lange"
Estimating the influence of auxiliary tasks for multi-task learning of sequence tagging tasks,2,tagging,,,Germany,Universitat Hamburg,N,Fynn Schr√∂der and Chris Biemann
Injecting Numerical Reasoning Skills into Language Models,2,language modeling,,,Israel,Tel Aviv University,N,"Mor Geva, Ankit Gupta and Jonathan Berant"
Simplify the Usage of Lexicon in Chinese NER,2,tagging,,,China,Fudan University,N,"Ruotian Ma, Minlong Peng, Qi Zhang, Zhongyu Wei and Xuanjing Huang"
Analyzing analytical methods: The case of phonology in neural models of spoken language,2,phonology,,,Netherlands,Tilburg University,N,"Grzegorz Chrupa≈Ça, Bertrand Higy and Afra Alishahi"
Universal Decompositional Semantic Parsing,2,semantic parsing,,,US,Johns Hopkins University,N,"Elias Stengel-Eskin, Aaron Steven White, Sheng Zhang and Benjamin Van Durme"
Toward Gender-Inclusive Coreference Resolution,2,information extraction,,,US,University of Maryland,N,Yang Trista Cao and Hal Daum√© III
Enhancing Answer Boundary Detection for Multilingual Machine Reading Comprehension,3,question answering,,,China,University of Electronic Science and Technology of China,Microsoft,"Fei Yuan, Linjun Shou, Xuanyu Bai, Ming Gong, Yaobo Liang, Nan Duan, Yan Fu and Daxin Jiang"
Speakers enhance contextually confusable words,2,dialog,,,US,UC San Diego,N,"Eric Meinhardt, Eric Bakovic and Leon Bergen"
Evidence-Aware Inferential Text Generation with Vector Quantised Variational AutoEncoder,2,data-to-text generation,,,China,Sun Yat-sen University,Microsoft,"Daya Guo, Duyu Tang, Nan Duan, Jian Yin, Daxin Jiang and Ming Zhou"
Improving Neural Machine Translation with Soft Template Prediction,3,machine translation,,,China,Beihang University,Microsoft,"Jian Yang, Shuming Ma, Dongdong Zhang, Zhoujun Li and Ming Zhou"
Probabilistic Assumptions Matter: Improved Models for Distantly-Supervised Document-Level Question Answering,3,question answering,,,US,Microsoft,Microsoft,"Hao Cheng, Ming-Wei Chang, Kenton Lee and Kristina Toutanova"
Document Modeling with Graph Attention Networks for Multi-grained Machine Reading Comprehension,3,question answering,,,China,Harbin Institute of Technology,Microsoft,"Bo Zheng, Haoyang Wen, Yaobo Liang, Nan Duan, Wanxiang Che, Daxin Jiang, Ming Zhou and Ting Liu"
Semantic Parsing for English as a Second Language,2,semantic parsing; low-resource,low-resource,equality,China,Peking University,N,"Yuanyuan Zhao, Weiwei Sun, Junjie Cao and Xiaojun Wan"
Empowering Active Learning to Jointly Optimize System and User Demands,4,interactive system; education,education,education,Germany,Technische Universitat Darmstadt,N,"Ji-Ung Lee, Christian M. Meyer and Iryna Gurevych"
Learning Web-based Procedures by Reasoning over Explanations and Demonstrations in Context,3,dialog,,,US,UNC Chapel Hill,Microsoft,"Shashank Srivastava, Oleksandr Polozov, Nebojsa Jojic and Christopher Meek"
Generalizing Natural Language Analysis through Span-relation Representations,2,information extraction; semantic parsing,,,US,CMU,N,"Zhengbao Jiang, Wei Xu, Jun Araki and Graham Neubig"
Generative Semantic Hashing Enhanced via Boltzmann Machines,4,information retrieval,,,China,Sun Yat-sen University,N,"Lin Zheng, Qinliang Su, Dinghan Shen and Changyou Chen"
Low-Resource Generation of Multi-hop Reasoning Questions,2,question answering,,,China,Sun Yat-sen University,N,"Jianxing Yu, Wei Liu, Shuang Qiu, Qinliang Su, Kai Wang, Xiaojun Quan and Jian Yin"
STARC: Structured Annotations for Reading Comprehension,2,question answering,,,US,MIT,N,"Yevgeni Berzak, Jonathan Malmaud and Roger Levy"
Unsupervised Dual Paraphrasing for Two-stage Semantic Parsing,2,semantic parsing,,,China,Shanghai Jiao Tong University,N,"Ruisheng Cao, Su Zhu, Chenyu Yang, Chen Liu, Rao Ma, Yanbin Zhao, Lu Chen and Kai Yu"
Multimodal Neural Graph Memory Networks for Visual Question Answering,3,question answering,,,Canada,Simon Fraser University,N,Mahmoud Khademi
Semi-supervised Contextual Historical Text Normalization,2,text normalization,,,Switzerland,University of Zurich,N,Peter Makarov and Simon Clematide
Efficient Pairwise Annotation of Argument Quality,2,sentiment and argument analysis,,,Germany,Leipzig University,N,"Lukas Gienapp, Benno Stein, Matthias Hagen and Martin Potthast"
Learning to Segment Actions from Observation and Narration,2,robotics,,,US,UC Berkeley,Google,"Daniel Fried, Jean-Baptiste Alayrac, Phil Blunsom, Chris Dyer, Stephen Clark and Aida Nematzadeh"
Cross-media Structured Common Space for Multimedia Event Extraction,2,information extraction,,,US; US,UIUC; Columbia University,N,"Manling Li, Alireza Zareian, Qi Zeng, Spencer Whitehead, Di Lu, Heng Ji and Shih-Fu Chang"
Language (Re)modelling: Towards Embodied Language Understanding,1,psycholinguistics,,,Israel,The Hebrew University of Jerusalem,N,"Ronen Tamari, Chen Shani, Tom Hope, Miriam R L Petruck, Omri Abend and Dafna Shahaf"
DoQA - Accessing Domain-Specific FAQs via Conversational QA,3,dialog,,,Spain,University of the Basque Country,N,"Jon Ander Campos, Arantxa Otegi, Aitor Soroa, Jan Deriu, Mark Cieliebak and Eneko Agirre"
Slot-consistent NLG for Task-oriented Dialogue Systems with Iterative Rectification Network,3,dialog,,,China; China,Ant Financial Services; Harbin Institute of Technology,Ant Financial Services,"Yangming Li, Kaisheng Yao, Libo Qin, Wanxiang Che, Xiaolong Li and Ting Liu"
Understanding the Language of Political Agreement and Disagreement in Legislative Texts,4,legal and political text,,,US,Purdue University,N,"Maryam Davoodi, Eric Waltenburg and Dan Goldwasser"
Speech Translation and the End-to-End Promise: Taking Stock of Where We Are,3;4,speech; machine translation,,,US,Apple,Apple,Matthias Sperber and Matthias Paulik
BiRRE: Learning Bidirectional Residual Relation Embeddings for Supervised Hypernymy Detection,2,word meaning,,,China,East China Normal University,Alibaba,Chengyu Wang and Xiaofeng He
Neural Data-to-Text Generation via Jointly Learning the Segmentation and Correspondence,3,data-to-text generation,,,Germany,Saarland University,N,"Xiaoyu Shen, Ernie Chang, Hui Su, Cheng Niu and Dietrich Klakow"
INFOTABS: Inference on Tables as Semi-structured Data,3,information retrieval,,,US,University of Utah,N,"Vivek Gupta, Maitrey Mehta, Pegah Nokhiz and Vivek Srikumar"
Speaker Sensitive Response Evaluation Model,3,dialog,,,Korea,KAIST,N,JinYeong Bak and Alice Oh
Semi-Supervised Dialogue Policy Learning via Stochastic Reward Estimation,2;3,dialog,,,Australia,The University of Melbourne,N,"Xinting Huang, Jianzhong Qi, Yu Sun and Rui Zhang"
Learning and Evaluating Emotion Lexicons for 91 Languages,2,word meaning,,,Germany,Friedrich-Schiller-Universitat Jena,N,"Sven Buechel, Susanna R√ºcker and Udo Hahn"
A Span-based Linearization for Constituent Trees,2,syntax parsing,,,China,East China Normal University,N,"Yang Wei, Yuanbin Wu and Man Lan"
Generalized Entropy Regularization or: There‚Äôs Nothing Special about Label Smoothing,2,model architecture,,,Switzerland,ETH Zurich,N,"Clara Meister, Elizabeth Salesky and Ryan Cotterell"
Heterogeneous Graph Transformer for Graph-to-Sequence Learning,2,data-to-text generation,,,China,Peking University,N,"Shaowei Yao, Tianming Wang and Xiaojun Wan"
A Mixture of h ‚àí 1 Heads is Better than h Heads,2,model architecture,,,US,UW,N,"Hao Peng, Roy Schwartz, Dianqi Li and Noah A. Smith"
Breaking Through the 80% Glass Ceiling: Raising the State of the Art in Word Sense Disambiguation by Incorporating Knowledge Graph Information,2,word meaning,,,Italy,Sapienza University of Rome,N,Michele Bevilacqua and Roberto Navigli
AdvAug: Robust Adversarial Augmentation for Neural Machine Translation,3,machine translation; robustness,,,US,Google Research,Google,"Yong Cheng, Lu Jiang, Wolfgang Macherey and Jacob Eisenstein"
TaPas: Weakly Supervised Table Parsing via Pre-training,2,semantic parsing,,,Israel,Tel Aviv University,Google,"Jonathan Herzig, Pawel Krzysztof Nowak, Thomas M√ºller, Francesco Piccinno and Julian Eisenschlos"
Can We Predict New Facts with Open Knowledge Graph Embeddings? A Benchmark for Open Link Prediction,2,knowledge graph,,,Germany,University of Mannheim,N,"Samuel Broscheit, Kiril Gashteovski, Yanjie Wang and Rainer Gemulla"
Compositionality and Generalization In Emergent Languages,1,emergent languages,,,France,Facebook,Facebook,"Rahma Chaabouni, Eugene Kharitonov, Diane Bouchacourt, Emmanuel Dupoux and Marco Baroni"
Handling Rare Entities for Neural Sequence Labeling,2,semantic parsing,,,China,Ant Financial Services,Ant Financial Services,"Yangming Li, Han Li, Kaisheng Yao and Xiaolong Li"
A Comprehensive Analysis of Preprocessing for Word Representation Learning in Affective Tasks,2,word meaning,,,Toronto,York University,N,"Nastaran Babanejad, Ameeta Agrawal, Aijun An and Manos Papagelis"
(Re)construing Meaning in NLP,1,psycholinguistics,,,US,UC San Diego,N,"Sean Trott, Tiago Timponi Torrent, Nancy Chang and Nathan Schneider"
Multi-Cell Compositional LSTM for NER Domain Adaptation,2,tagging,,,China,Fudan University,N,Chen Jia and Yue Zhang
KLEJ: Comprehensive Benchmark for Polish Language Understanding,2,low-resource,low-resource,,Poland,ML Research at Allegro.pl,Allegro,"Piotr Rybak, Robert Mroczkowski, Janusz Tracz and Ireneusz Gawlik"
A Generate-and-Rank Framework with Semantic Type Regularization for Biomedical Concept Normalization,3,text normalization; healthcare,healthcare,health and wellbeing,US,University of Arizona,N,"Dongfang Xu, Zeyu Zhang and Steven Bethard"
